"reportDate","payload.appt_num","payload.developer_group_name","payload.typed_volume_pct","payload.total_living_floor_size","payload.developer_group_id","payload.object_count","payload.total_living_floor_size_pct"
2019-05-01,148313,"Группа ПИК",53.03,7719881,"429726001",352,5.4715517428
2019-05-01,87731,"Группа ЛСР",8.57,4150369,"429468001",268,2.9416203093
2019-05-01,94379,"Холдинг Setl Group",8.13,3390575,"363697001",156,2.4031078394
2019-05-01,34759,"Группа ЦДС",46.41,1382934,"1777698001",66,0.9801698935
2019-05-01,25632,"Группа компаний ЮгСтройИнвест",3.02,1265874,"1705946001",103,0.8972023132
2019-05-01,24823,"Группа компаний ФСК",31.66,1246211,"755344001",60,0.8832659427
2019-05-01,26808,"Группа Самолет-Девелопмент",43.85,1221829,"2366201001",80,0.8659849283
2019-05-01,31161,"Группа компаний Гранель",8.76,1170268,"955386001",81,0.8294404946
2019-05-01,21844,"Группа компаний ИНГРАД",5.4,1157763,"3955566001",83,0.8205774364
2019-05-01,27391,"Группа компаний Главстрой",0,1142713,"1961151001",79,0.8099105811
2019-05-01,22367,"Строительная компания ЮгСтройИмпериал",0,1100198,"2894925001",76,0.7797776008
2019-05-01,16512,"Группа Эталон",0,962031,"1331499001",36,0.6818501988
2019-05-01,16595,"А101 ДЕВЕЛОПМЕНТ",21.76,952322,"1075233001",51,0.6749688368
2019-05-01,20982,"Лидер Групп",24.07,894218,"430857001",36,0.6337869789
2019-05-01,15220,"Группа компаний КОРТРОС",0,827978,"429541001",52,0.5868386402
2019-05-01,16836,"Группа компаний ВКБ-Новостройки",78.42,768164,"2445377001",51,0.5444448008
2019-05-01,12396,"MR Group",9.67,689023,"430836001",22,0.4883527345
2019-05-01,17458,"Группа Компаний Третий Трест",61.86,685790,"391452001",78,0.4860613097
2019-05-01,14495,"Группа компаний МИЦ",40.62,679019,"430374001",41,0.481262288
2019-05-01,14544,"Urban Group",0,668947,"1027703001",63,0.4741236456
2019-05-01,10367,"Группа компаний ИНТЕКО",35.69,653652,"430013001",69,0.4632831438
2019-05-01,15407,"Группа компаний Аквилон-Инвест",37.75,617132,"391375001",40,0.4373991866
2019-05-01,14728,"Группа компаний Финансово-строительная компания Архстройинвестиции",0,608145,"4865696001",42,0.4310295501
2019-05-01,10783,"Группа компаний Капитал",94.43,594570,"261190001",33,0.4214081175
2019-05-01,13021,"Строительная компания Дальпитерстрой",11.85,585863,"5046926001",26,0.4152369342
2019-05-01,8477,"ДОНСТРОЙ",0,580753,"430278001",19,0.4116151647
2019-05-01,10301,"Группа Компаний Единство",81.03,552177,"156056001",29,0.3913616061
2019-05-01,12302,"Группа компаний СпецСтройКубань",33.48,546380,"5360409001",37,0.3872529177
2019-05-01,9974,"Брусника",6.39,538210,"733498001",53,0.3814623391
2019-05-01,9141,"Домостроительный комбинат",73.1,492706,"561250001",43,0.3492108716
2019-05-01,8720,"Группа компаний Пионер",0,477791,"430031001",30,0.3386396991
2019-05-01,9561,"Девелоперская компания Древо",96.78,397082,"2984653001",76,0.2814362953
2019-05-01,7240,"Seven Suns Development",11.6,385644,"2488380001",20,0.2733294853
2019-05-01,9023,"Группа компаний КВС",0,385078,"1288457001",43,0.2729283265
2019-05-01,6523,"Группа компаний ТЭН",0,382745,"931046001",19,0.2712747867
2019-05-01,7500,"Унистрой",30.18,380768,"1130405001",36,0.2698735659
2019-05-01,12643,"Группа компаний Полис Групп",79.74,378539,"1243443001",12,0.2682937373
2019-05-01,7655,"Московская строительная компания",0,372226,"3772776001",32,0.2638193282
2019-05-01,9202,"СПб Реновация",21.21,368572,"5052828001",25,0.2612295149
2019-05-01,6031,"Строительный трест",0,364306,"1738274001",20,0.2582059399
2019-05-01,6623,"Мегалит-Охта групп",0,356237,"10462657001",13,0.2524869461
2019-05-01,7550,"Концерн ЮИТ",31.63,354699,"788653001",59,0.2513968715
2019-05-01,5605,"AFI Development",0,352833,"1189186001",23,0.2500743232
2019-05-01,7674,"Группа компаний АльфаСтройКомплекс",41.99,351572,"1469776001",30,0.2491805754
2019-05-01,6041,"Атомстройкомплекс",4.38,344627,"691686001",25,0.2442582292
2019-05-01,5695,"Московский городской центр продажи недвижимости",0,342974,"8961336001",18,0.243086647
2019-05-01,8624,"Группа строительных компаний Красстрой",70.55,336294,"388253001",16,0.2383521225
2019-05-01,6169,"PRINZIP",0,334010,"3551081001",20,0.236733312
2019-05-01,9040,"DOGMA",49.8,329005,"5699998001",22,0.2331859625
2019-05-01,5830,"РГ-Девелопмент",46.13,328956,"3136702001",14,0.2331512332
2019-05-01,3934,"Capital Group",0,328863,"430410001",21,0.2330853184
2019-05-01,9901,"Инвестиционно-строительная группа Мавис",4.29,324435,"2110139001",16,0.229946924
2019-05-01,6401,"Апрелевка С2",0,323197,"4949522001",145,0.2290694777
2019-05-01,4212,"Холдинг ЛЕГИОН",0,322671,"4917509001",32,0.2286966693
2019-05-01,6935,"Инвестиционно-строительная компания Запад",93.91,318243,"1442112001",117,0.225558275
2019-05-01,7512,"Неометрия",11.48,317723,"1734816001",24,0.2251897192
2019-05-01,6797,"Группа компаний Девелопмент-Юг",8.71,316526,"1459022001",34,0.2243413321
2019-05-01,7104,"Кировский сельский строительный комбинат",93.84,314022,"766234001",22,0.2225665941
2019-05-01,5513,"Строительная группа СМ.СИТИ",20.73,313371,"754951001",22,0.2221051906
2019-05-01,5520,"Группа компаний Дом",100,313363,"5395639001",14,0.2220995205
2019-05-01,5060,"Группа ПСН",0,312918,"2303755001",18,0.2217841218
2019-05-01,5302,"Талан",26.72,312375,"2493968001",21,0.2213992645
2019-05-01,5421,"Холдинг Sezar Group",0,311794,"1214960001",7,0.2209874743
2019-05-01,4421,"Строительная компания Сити Строй Холдинг",73.01,310832,"6745318001",33,0.2203056461
2019-05-01,4911,"Красноярский Краевой Фонд Жилищного Строительства",100,308491,"5822900001",14,0.2186464362
2019-05-01,7390,"Метрикс Develoрment",93.07,301900,"9337739001",26,0.2139749915
2019-05-01,9939,"Строительная компания ПЕТРОСТРОЙ",64.64,301721,"1795517001",28,0.2138481232
2019-05-01,5052,"Мосотделстрой № 1",100,300450,"12051560001",14,0.2129472878
2019-05-01,5243,"Галактика",0,295799,"6018818001",15,0.2096508397
2019-05-01,6525,"Тверской Домостроительный Комбинат",89.27,292717,"2423943001",29,0.2074664378
2019-05-01,4308,"Группа Компаний МонАрх",0,290261,"1064149001",20,0.2057257204
2019-05-01,5354,"Группа компаний Томская домостроительная компания",93.05,287603,"424406001",18,0.2038418333
2019-05-01,5521,"Группа компаний ИНСИТИ",46.58,284758,"5696575001",142,0.2018254078
2019-05-01,4926,"Л1 строительная компания №1",0,279919,"1722667001",14,0.1983957126
2019-05-01,5208,"Группа RBI",0,279579,"1813315001",38,0.1981547338
2019-05-01,5264,"Группа компаний Первый Трест",0,279274,"4053794001",10,0.1979385617
2019-05-01,6145,"Корпорация КОШЕЛЕВ",56.97,279056,"391358001",46,0.1977840517
2019-05-01,5534,"Glorax Development",0,273822,"1931581001",11,0.1940743959
2019-05-01,5022,"Группа компаний Гарант БКЖС",83.74,267781,"452311001",28,0.1897927698
2019-05-01,4684,"Стадион Спартак",0,267457,"10336172001",6,0.1895631312
2019-05-01,4767,"Ассоциация строительных организаций Промстрой",41.91,257757,"759171001",54,0.182688148
2019-05-01,5235,"Группа компаний Арсенал-Недвижимость",0,256537,"1687819001",17,0.1818234594
2019-05-01,6415,"Группа компаний ЭкоГрад",33.54,254739,"3408757001",146,0.1805491068
2019-05-01,6246,"Группа компаний Флагман",0,250734,"2999307001",18,0.1777105184
2019-05-01,4039,"Группа компаний Монолитхолдинг",21.25,250670,"2232571001",24,0.1776651577
2019-05-01,5129,"Группа компаний Пересвет-Юг",81.77,249428,"2560044001",34,0.1767848764
